model,backend,fold,seed,run_id,status,epoch
unet_r34,semantic,0,1,unet_r34-f0-s1,completed_verified,60
unet_r34,semantic,0,2,unet_r34-f0-s2,completed_verified,60
unet_r34,semantic,0,3,unet_r34-f0-s3,completed_verified,60
unet_r34,semantic,1,1,unet_r34-f1-s1,completed_verified,60
unet_r34,semantic,1,2,unet_r34-f1-s2,completed_verified,60
unet_r34,semantic,1,3,unet_r34-f1-s3,completed_verified,60
unet_r34,semantic,2,1,unet_r34-f2-s1,completed_verified,60
unet_r34,semantic,2,2,unet_r34-f2-s2,completed_verified,60
unet_r34,semantic,2,3,unet_r34-f2-s3,completed_verified,60
deeplabv3plus_r34,semantic,0,1,deeplabv3plus_r34-f0-s1,completed_verified,60
deeplabv3plus_r34,semantic,0,2,deeplabv3plus_r34-f0-s2,completed_verified,60
deeplabv3plus_r34,semantic,0,3,deeplabv3plus_r34-f0-s3,completed_verified,60
deeplabv3plus_r34,semantic,1,1,deeplabv3plus_r34-f1-s1,completed_verified,60
deeplabv3plus_r34,semantic,1,2,deeplabv3plus_r34-f1-s2,completed_verified,60
deeplabv3plus_r34,semantic,1,3,deeplabv3plus_r34-f1-s3,completed_verified,60
deeplabv3plus_r34,semantic,2,1,deeplabv3plus_r34-f2-s1,completed_verified,60
deeplabv3plus_r34,semantic,2,2,deeplabv3plus_r34-f2-s2,completed_verified,60
deeplabv3plus_r34,semantic,2,3,deeplabv3plus_r34-f2-s3,completed_verified,60
segformer_b0,semantic,0,1,segformer_b0-f0-s1,completed_verified,60
segformer_b0,semantic,0,2,segformer_b0-f0-s2,completed_verified,60
segformer_b0,semantic,0,3,segformer_b0-f0-s3,completed_verified,60
segformer_b0,semantic,1,1,segformer_b0-f1-s1,completed_verified,60
segformer_b0,semantic,1,2,segformer_b0-f1-s2,completed_verified,60
segformer_b0,semantic,1,3,segformer_b0-f1-s3,completed_verified,60
segformer_b0,semantic,2,1,segformer_b0-f2-s1,completed_verified,60
segformer_b0,semantic,2,2,segformer_b0-f2-s2,completed_verified,60
segformer_b0,semantic,2,3,segformer_b0-f2-s3,completed_verified,60
